Gene_ID,length,BA21_DS_F,BA22_WS_F,BA23_DS_M,BA24_WS_M,BA25_DS_F,BA26_WS_F,BA27_DS_M,BA28_WS_M,BA29_DS_F,BA30_WS_F,BA31_DS_M,BA32_WS_M
comp0_c0,531,5,5,8,1,4,1,0,3,6,1,6.48,2
comp1_c0,663,2,3,3,4,3,2,3,0,0,0,3,5
comp10002_c0,437,7,0,2,0,0,0,4,0,2,1,0,0
comp10011_c0,328,1,2,2,0,0,1,0,2,1,1,0,1
comp100187_c0,1671,53,32,36,33,31,32,45,29.89,44,34,25,10
comp100203_c0,853,22,36,25,30,16,8,7,28,18,27,12,36
comp10021_c0,585.61,4.94,4,6,3,7.98,1,8.28,1,1,0,6,5
comp10024_c0,388,0,2,5,3,2,5,0,1,2,0,1,1
comp10026_c0,594.34,2,8,3,7,3,6,4,3,1,7,2,3
comp10028_c0,327,3,2,3,2,7,3,0,7,6,4,7.09,3
comp100288_c0,681,11,17,17,19,25,17,16,18.22,14,16,17,15
comp1003_c0,381,4,1,6,0,0,1,4,1,1,0,0,1
comp10030_c0,308,2,2,2,3,0,0,0.93,2,2,2,2,2
comp10034_c0,364,4,0,4,0,2,0,2,0,0,0,1,0
comp100351_c0,1875,82,50,87,65,39,47,27,64,36,32,97,78
comp10036_c0,388,3,1,5,4,9,7,4,1,3,4,1,2
comp10037_c0,348,2,1,2,1,2,0,1,1,0,2,1,0
comp1004_c0,913,5,10,15,4,11,12,7,2,6,9,16,16
comp10040_c0,415,0,2,1,2,1,1,2,1,2,2,3,3
comp10043_c0,415,1,4,1,7,2,6,0,0,1,14,1,20
comp10045_c0,446,2,4,2,1,0,1,3,4,3,1,1,0
comp10047_c0,414,2,6,1,3,0,1,0,0,0,1,0,0
comp10048_c0,448,3,0,5,1,3,0,3,0,2,0,0,0
comp10052_c0,552,1,5,4,6,1,5,1,4,0,2,1,2
comp10055_c0,780,6.01,5,0,6,0,5,6,0,9,0,9,6
comp100554_c0,468,1,1,3,0,2,1,1,1,0,1,2,1
comp10057_c0,406,1,2,2,1,0,0,1,1,1,0,0,2
comp1006_c0,581,1,3,4,2.75,6,2,1,5.78,3,0,0,1
comp10060_c0,321,5,4,7,2,1,0,2,3,6,4,0,0
comp100619_c0,837,30,38,37,32,31,18,24,35,18,21,20,14
comp10066_c0,397,2,0,2,0,0,1,1,2,1,0,0,1
comp10067_c0,608,4,5,2,1,2,1,1,3,2,0,2,2
comp10075_c0,394,6,6,3,1,0,0,2,2,1,1,0,0
comp10077_c0,392,1,1,2,2,0,0,1,1,1,0,1,0
comp10079_c0,415,2,1,3,8,1.97,0,10,7,4,4,0,2
comp1008_c0,311,1,0,5,0,0,0,0,0,0,1,0,0
comp10087_c0,383,2,2,1,0,2,1,0,0,2,0,0,0
comp10092_c0,351,1,0,0,0,0,0,0,0,0,0,0,0
comp100927_c0,319,3,5,5,13,14,8,1,8,7,6,6,8
comp10093_c0,311,0,0,1,0,0,0,0,0,0,0,1,0
comp100935_c0,349,32,0,0,0,1,0,0,24,0,12,26,13
comp10096_c0,393,0,3,1,1,0,0,0,0,0,0,0,0
comp10099_c0,521,1,3,2,2,3,4,0,0,1,1,2,1
comp100998_c0,447,0,0,61,0,33,0,16,26,0,0,24,1
comp101009_c0,359,0,1,5,6,1,1,1,2,0,2,2,1
comp10102_c0,330,0,5,1,1,0,1,1,3,0,1,1,0
comp101031_c0,331,5,6,2,5,4,4,0,3,2,6,4,4
comp1010528_c0,305,0,0,2,1,0,0,0,0,0,0,1,0
comp10106_c0,439,1,7,4,2,4.72,3,2,2,0,0,1,1
comp10109_c0,427,1,6,1,0,0,1,0,0,0,2,0,1
comp10112_c0,525,1,0,2,1,0,1,3,0,0,3,3,0
comp10115_c0,398,0,2,2,2,0,0,1,1,1,2,0,1
comp10119_c0,392,1,0,0,1,0,3,2,2,1,0,2,0
comp1012_c0,603,1,5,4,6,3,6,1,1,3,4,4.02,4
comp101206_c0,1268,62,75,3,9,63,62,3,7,47,34,4,1
comp10121_c0,317,4,1,1,1,2,7,0,3,1,4,4,5
comp10124_c0,372,0,0,3,0,1,1,1,1,0,3,0,6
comp101252_c0,988,4,63.02,4,16,20,56,0,16,31,42,15,34
comp101277_c0,1089,34,35,34,25,24,29,30,39,27,27,47,29
comp10129_c0,863,3,2,2,10,5,8,0,2.01,1,0,7,9
comp101339_c0,318,4,5,5,1,3,5,3,2,0,2,4,3
comp10136_c0,812,5,9,3,2,13,9,5,5,0,6,8,1
comp10138_c0,327,2,0,1,2,4,2,0,1,0,1,2,0
comp1014_c0,926,8,8,1,3,2,4,5,7,7,6,2,3
comp10140_c0,324,1,0,0,0,0,0,0,0,0,0,0,0
comp10142_c0,522,2,5,1,2,0.97,0,0,2,0,0,0,1
comp101442_c0,347,0,21,34,0,30,24,26,16,31,0,33,0
comp10147_c0,428,0,4,4,7,4,2,0,2,4,1,2,0
comp101483_c0,525,14,38,18,3,18,35,7,13,14,26,14,12.9
comp1015_c0,332,7,2,0,0,1,1,2,0,2,0,0,1
comp10158_c0,413,2,1,2,2,2,0,0,1,2,0,1,0
comp101585_c0,327,12,5,4,6,15,8,8,2,3,8,4,6
comp10159_c0,316,0,0,6,0,2,0,3,0,0,0,0,0
comp10162_c0,453,1,1,5,1,4,2,1,0,0,0,0,0
comp10165_c0,560,5,1,2,6,2,6,3,3,7,2,4,4
comp10166_c0,339,1,5,3,2,3,1,1,0,0,0,2,3
comp101679_c0,559,13,12,19,9,14,26,12,15.04,17,17,17,22
comp10172_c0,319,1,3,1,0,0,0,0,1,0,0,2,0
comp101733_c0,308,2,2,2,0,0,0,1,1,1,0,3,1
comp10183_c0,622,5,1,2,3,2,2,2,2,0,1,1,1
comp10184_c0,345,0,1,1,0,0,0,0,1,0,0,0,0
comp10195_c0,482,0,6,2,2,0,0,0,1,1,2,4,2
comp10199_c0,330,0,3,0,0,0,1,0,1,1,0,2,0
comp102_c0,388,0,0,3,5,1,0,1,0,0,1,3,3
comp10200_c0,350,0,1,0,3,0,0,0,0,0,0,2,1
comp102019_c0,388,12,11,17,12,9,16,7,10,4,10,15,20
comp10205_c0,314,0,1,1,1,0,0,0,1,0,0,0,1
comp10206_c0,467,2,0,7,0,9,1,1,0,5,1,0,0
comp10207_c0,451,1,3,2,2,0,5,3,1,5,3,1,1
comp10209_c0,553,3,4,3,0,0,3,3,3,1,1,3,0
comp10221_c0,583,5,2,3,3,1,1,5,1,1,0,0,2
comp10224_c0,304,0,4,1,1,1,0,0,1,0,1,0,1
